MLSNUM,LISTPRICE,ZIP,BEDS,BATHS,SQFT
71871581,292900.0,02026,2,1.5,848
71871716,209900.0,01583,2,2.5,1540
71871749,489900.0,02375,3,2.5,2700
71872399,349900.0,02748,3,2.5,1578
71872498,49900.0,02740,2,1.5,936
71872675,399900.0,02129,1,1.0,690
71872921,439900.0,01970,4,2.5,2936
71873392,279900.0,01930,3,1.5,1441
71873756,464900.0,02748,3,3.5,2096
71873882,259900.0,02176,3,1.0,1372
71873933,724000.0,01742,3,2.5,2572
71875063,155000.0,01095,2,1.0,1280
71876972,122400.0,06082,1,1.5,1200
71877050,364990.0,01581,2,2.0,1291
71877945,209000.0,01852,1,1.0,1005
71878053,499000.0,02118,2,1.0,820
71878181,449000.0,02130,3,2.0,1200
71878240,369900.0,01609,2,2.0,1656
71878389,349900.0,01944,2,2.5,1100
71878602,217495.0,02019,2,1.5,1600
71878609,219900.0,01702,2,2.0,1355
71879255,375000.0,01902,2,2.0,1206
71879307,635000.0,02171,2,2.0,1305
71880522,999500.0,02129,3,2.0,1427
71880616,674900.0,01950,3,2.5,2265
71880669,152900.0,01970,1,1.0,794
71880725,545000.0,02132,3,2.5,2644
71880943,205000.0,02375,2,1.5,1595
71881183,224000.0,01945,1,1.0,401
71881210,315000.0,01536,2,3.5,2160
71881838,289900.0,01852,4,2.5,2278
71881853,140000.0,01833,1,1.0,618
71882491,299900.0,01519,2,2.5,1500
71882513,157500.0,01075,2,1.0,880
71883165,179850.0,02719,2,1.5,1377
71883252,219900.0,01852,1,1.0,1057
71883268,262900.0,02356,1,2.5,1458
71883322,219900.0,02648,3,1.5,1476
71883463,249900.0,02718,2,3.0,1248
71883492,489900.0,02131,3,2.0,1786
71883630,287999.0,01830,3,2.5,1810
71883794,550000.0,03049,3,3.0,2602
71883880,425000.0,01970,3,1.0,1400
71884003,269900.0,02169,2,1.5,1389
71884405,487000.0,02135,4,1.0,1400
71884501,229000.0,02126,2,1.0,1007
71884655,209900.0,02703,2,2.5,1440
71885141,589000.0,02452,2,2.0,2663
71886380,125000.0,02360,2,2.0,983
71886960,599000.0,01950,4,3.5,2360
71887093,415000.0,01906,3,2.5,1700
71887108,410000.0,01906,3,2.5,1700
71887592,264900.0,01752,2,2.0,1375
71887721,194500.0,01854,2,1.5,1200
71887843,128500.0,01850,2,1.0,1100
71887942,219900.0,02155,1,1.0,595
71888005,174900.0,01510,2,2.0,1005
71888727,204900.0,01832,3,1.5,1652
71888836,230000.0,02368,2,1.5,1378
71889058,429900.0,01950,2,2.5,1932
71889249,184900.0,01085,2,2.0,1519
71889298,329900.0,01970,2,1.5,1635
71889319,453000.0,02169,4,2.5,2308
71889841,239000.0,02360,2,2.5,1420
71890354,599000.0,02130,3,2.0,1115
71891000,229900.0,01852,2,1.5,1300
71891102,419000.0,01915,3,4.0,2664
71891147,2190000.0,02116,2,2.0,1370
71891236,349900.0,02150,2,2.0,1137
71891853,160000.0,02703,3,1.5,1200
71891924,659900.0,01949,3,3.5,2613
71892106,419900.0,02155,3,1.5,2160
71892222,157000.0,02532,3,1.5,1521
71892549,427500.0,01950,2,1.0,1158
71893067,229000.0,01835,3,2.5,2156
71893350,189900.0,02184,2,1.0,733
71893505,449900.0,01876,2,2.5,1850
71893506,509900.0,01876,2,2.5,1850
71893653,599900.0,01950,2,2.5,1440
71893679,57900.0,01089,2,1.0,541
71894181,199999.0,01851,2,2.0,1271
71894237,124900.0,01588,2,1.0,966
71894320,95000.0,02301,2,1.0,900
71894349,1400000.0,02467,3,3.0,2984
71894521,239900.0,01913,3,1.0,1242
71894556,162500.0,01960,1,1.0,782
71894628,250000.0,02703,3,1.5,1700
71894633,250000.0,02703,3,1.5,1700
71894811,1495000.0,02478,4,4.5,3453
71895160,340000.0,02145,1,1.0,908
71895364,2600000.0,02138,3,3.0,2195
71895536,242900.0,02763,2,2.5,1676
71895746,474900.0,02466,3,1.0,1234
71895869,214000.0,01536,3,1.5,1400
71896025,869000.0,02460,4,4.0,3240
71896133,147500.0,01913,2,1.0,800
71896267,249900.0,02151,3,1.0,1091
71896443,185900.0,01108,3,1.5,1224
71896488,529900.0,01952,4,2.0,1792
71896635,299900.0,02332,2,2.0,1326
71896695,80000.0,01301,2,1.5,896
71896812,150000.0,02703,2,1.5,1300
